/10_01.input.gz	1	0	0	0	0.0009510000000000352	0
/10_02.input.gz	1	3	2	0.013660815513225621	0.0020589999999999775	2
/10_03.input.gz	1	0	0	0	0.0009719999999999729	0
/10_04.input.gz	1	0	0	0	0.0009600000000000164	0
/10_05.input.gz	1	0	0	0	0.0009539999999999549	0
/10_06.input.gz	1	2	1	0.016332823047692235	0.0017280000000000073	1
/10_07.input.gz	1	2	1	0.1823201217257473	0.0017179999999999973	1
/10_08.input.gz	1	2	1	0.18001968329278162	0.001729000000000036	1
/10_09.input.gz	1	4	3	0.3869472333606194	0.002039000000000013	3
/10_10.input.gz	1	0	0	0	0.0009599999999999609	0
/10_11.input.gz	1	2	1	0.026885410864195824	0.0016969999999999485	1
/10_12.input.gz	1	0	0	0	0.0009609999999999896	0
/10_13.input.gz	1	4	3	0.325129859010445	0.002438999999999969	3
/10_14.input.gz	1	0	0	0	0.0009539999999999549	0
/10_15.input.gz	1	2	1	0.09358797017402298	0.0017149999999999666	1
/10_16.input.gz	1	8	7	0.6594739456735434	0.024903999999999926	29
/10_17.input.gz	1	2	1	0.0705978253489632	0.00171300000000002	1
/10_18.input.gz	1	6	5	0.5457652873060608	0.002519000000000049	5
/10_19.input.gz	1	7	6	0.3387218209220322	0.012869999999999993	17
/10_20.input.gz	1	4	2	0.01911054592159167	0.0021460000000000368	2
/10_21.input.gz	1	2	1	0.015402868469517772	0.001860999999999946	1
/10_22.input.gz	1	8	7	0.3048457115461707	0.003323000000000076	7
/10_23.input.gz	1	2	1	0.0054270774326559135	0.0017420000000000213	1
/10_24.input.gz	1	7	6	0.12173977191760676	0.004579999999999973	12
/10_25.input.gz	1	6	7	0.27995099738223583	0.011750000000000038	14
/10_26.input.gz	1	0	0	0	0.0009629999999999361	0
/10_27.input.gz	1	5	3	0.12555019523624567	0.002269000000000021	3
/10_28.input.gz	1	7	10	0.8614738573941554	0.013896999999999993	26
/10_29.input.gz	1	3	2	0.07069930441263361	0.0020549999999999735	2
/10_30.input.gz	1	0	0	0	0.0009480000000000599	0
/10_31.input.gz	1	2	1	0.03419301843936284	0.001719000000000026	1
/10_32.input.gz	1	0	0	0	0.0009560000000000124	0
/10_33.input.gz	1	0	0	0	0.0009770000000000056	0
/10_34.input.gz	1	8	9	0.2673345438706542	0.03099799999999997	33
/10_35.input.gz	1	2	1	0.1281201821635085	0.0017079999999999873	1
/10_36.input.gz	1	7	5	0.6586355686605958	0.0026720000000000077	5
/10_37.input.gz	1	3	2	0.17199775316377153	0.0020600000000000618	2
